can_number,plaza_top,plaza_bottom,zwelis,loop,kraft,original_stream,pieces_trash,pieces_recycle,pieces_compost,weight_trash_lbs,weight_recycle_lbs
1,T,F,F,F,F,trash,7,10,57,1.8,0.4
24,T,F,F,F,F,trash,142,3,105,3.95,0.05
28,T,F,F,F,F,recycling,43,34,25,2.35,2.85
51,F,F,F,F,T,trash,104,13,114,2,1.6
?,T,F,F,F,F,compost,24,2,39,0.6,0.2
13,F,F,T,F,F,trash,49,6,41,1.2,0.2
8,F,F,T,F,F,recycling,30,17,19,0.2,0.6
22,T,F,F,F,F,trash,78,14,86,1.4,0.2
34,T,F,F,F,F,recycling,47,32,44,0.3,1.4
21,T,F,F,F,F,trash,176,5,190,7.6,0.4
52,F,F,F,F,T,trash,124,3,108,2.8,0
20,T,F,F,F,F,trash,130,3,78,4,0.2
14,T,F,F,F,F,trash,155,5,60,6.4,0
?,T,F,F,F,F,compost,9,0,14,0,0
?,T,F,F,F,F,compost,1,0,7,0,0
53,F,F,F,F,T,trash,91,17,78,2.7,4.4
10,F,F,T,F,F,compost,59,0,15,0.8,0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,Total,,